URL;PRICE;PRICE_SALE;STATUS;ACTIVITY;QUANTITY
https://lenta.com/product/buzhenina-tavriya-altajjskaya-kv-vu-rossiya-300g-509463/;347;420;"Товара достаточно";Y;50
https://lenta.com/product/bulochka-lenta-dlya-burgera-rossiya-275g-570298/;0;0;;Y;0
https://lenta.com/product/bulochka-chelnyhleb-dlya-hotdoga-rossiya-120g-130450/;0;0;;Y;0
https://lenta.com/product/bulochka-bulko-dlya-burgerov-pshenichnye-rossiya-180g-494960/;0;0;;Y;0
https://lenta.com/product/bulon-rollton-degidratirovannyjj-nasypnojj-kurinyjj-s-suharikami-stakan-rossiya-30g-582109/;0;0;;Y;0
https://lenta.com/product/bumaga-listovaya-svetocopy-dofisnojj-tehniki-a4500l-rossiya-012433/;0;0;;Y;0
https://lenta.com/product/tualetnaya-bumaga-kleenex-aromat-sochnaya-klubnika-3sl-vengriya-8sht-188861/;0;0;;Y;0
https://lenta.com/product/tualetnaya-bumaga-kleenex-premium-comfort-4sl-shvejjcariya-4sht-163851/;0;0;;Y;0
https://lenta.com/product/tualetnaya-bumaga-papia-deluxe-4sl-rossiya-4sht-352171/;0;0;;Y;0
https://lenta.com/product/tualetnaya-bumaga-zewa-deluxe-belaya-3sl-rossiya-8sht-127855/;0;0;;Y;0
https://lenta.com/product/tualetnaya-bumaga-zewa-deluxe-s-arom-persika-3sl-rossiya-8sht-039287/;0;0;;Y;0
https://lenta.com/product/tualetnaya-bumaga-zewa-plyus-s-arom-yabloka-2sl-rossiya-12sht-255262/;0;0;;Y;0
https://lenta.com/product/bumaga-tualetnaya-lenta-2sl-belaya-rossiya-24sht-477193/;0;0;;Y;0
https://lenta.com/product/bumaga-tualetnaya-myagkijj-znak-mrbig-2sl-rossiya-6sht-525481/;0;0;"Товар заканчивается";Y;0
https://lenta.com/product/trubochki-yashkino-vafelnye-so-vkusom-sgushchennogo-moloka-rossiya-190g-100169/;96;120;"Товара много";Y;100
https://lenta.com/product/vafli-365-dnejj-s-aromatom-lesnogo-oreha-rossiya-200g-362068/;45;50;"Товара много";Y;100
https://lenta.com/product/vafli-365-dnejj-s-aromatom-shokolada-rossiya-200g-362069/;45;50;"Товара много";Y;100
https://lenta.com/product/vafli-365-dnejj-so-slivochnym-aromatom-rossiya-200g-362070/;0;0;;Y;0
https://lenta.com/product/vafli-kinder-bueno-v-belom-shokolade-polsha-39g-449571/;0;0;;Y;0
https://lenta.com/product/vafli-kinder-bueno-pokrytye-molochn-shokoladom-s-molochnoorehovojj-nachinkojj-polsha-43g-072202/;0;0;;Y;0
https://lenta.com/product/vafli-loacker-s-lesnym-orehom-avstriya-175g-488756/;0;0;;Y;0
https://lenta.com/product/vafli-kolomenskoe-vechernyaya-tajjna-s-kakao-rossiya-120-g-586440/;0;0;;Y;0
https://lenta.com/product/vafli-kolomenskoe-s-arahisom-i-fundukom-glazirovannye-rossiya-160g-584864/;0;0;;Y;0
https://lenta.com/product/vafli-kolomenskoe-s-orehami-rossiya-200g-584926/;0;0;;Y;0
https://lenta.com/product/vafli-kolomenskoe-s-halvojj-rossiya-220g-301496/;0;0;;Y;0
https://lenta.com/product/vafli-kolomenskoe-slivochnye-tradicionnye-rossiya-200g-608265/;0;0;;Y;0
https://lenta.com/product/vafli-lenta-myagkie-s-sufle-vishnya-4sht-rossiya-244g-220968/;0;0;;Y;0
https://lenta.com/product/vafli-akulchev-venskie-so-vzbit-slivkami-i-vishnejj-myagk-rossiya-112g-478099/;0;0;;Y;0
https://lenta.com/product/vafli-akulchev-venskie-so-sgushchenkojj-myagkie-rossiya-100g-130593/;0;0;;Y;0
