НАИМЕНОВАНИЕ;АРТИКУЛ;ИМЯ_БРЕНДА;СТРАНА_БРЕНДА;РАЗДЕЛ;КАТЕГОРИЯ;ЦЕНА;ИЗОБРАЖЕНИЕ;КОЛЛЕКЦИЯ;ОПИСАНИЕ;ХАРАКТЕРИСТИКИ
Подвесная люстра Bohemia Ivele 1403/12+6/300/XL-95 G;1403/12+6/300/XL-95 G;Bohemia Ivele;Чехия;Люстры;Подвесные;122160;https://www.vamsvet.ru/upload/iblock/e59/vamsvet-podvesnaya-lyustra-bohemia-ivele-1403-12-6-300-xl-95-g.jpeg;1403;Исключительная модель 1403/12+6/300/XL-95 G от чешской компании Bohemia Ivele относится к коллекции 1403 и отлично подойдет для установки на потолок больших залов, оформленных в классическом стиле. Подвесная люстра Bohemia Ivele 1403/12+6/300/XL-95 G без плафонов осветит помещение площадью 48 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является золотой. Подвесная люстра 1403/12+6/300/XL-95 G продается по цене 122160 руб, с дисконтом 12% - ваша выгода при покупке составит 16658 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:1403/12+6/300/XL-95 G||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:1403||Стиль:Классика||Высота, мм:950||Диаметр, мм:870||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:18||Мощность лампы, W:40||Общая мощность, W:720||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Золотой||Цвет арматуры:Золотой||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для больших залов||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Пульт ДУ:Нет||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele 1409/5/160 G;1409/5/160 G;Bohemia Ivele;Чехия;Люстры;Подвесные;30450;https://www.vamsvet.ru/upload/iblock/104/vamsvet-podvesnaya-lyustra-bohemia-ivele-1409-5-160-g.jpeg;1409;Изысканная модель 1409/5/160 G от чешской компании Bohemia Ivele относится к коллекции 1409 и отлично подойдет для установки на потолок спальни, оформленной в классическом стиле. Подвесная люстра Bohemia Ivele 1409/5/160 G без плафонов осветит помещение площадью 13.3 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является золотой. Подвесная люстра 1409/5/160 G продается по цене 30450 руб, с дисконтом 12% - ваша выгода при покупке составит 4152 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:1409/5/160 G||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:1409||Стиль:Классика||Высота, мм:410||Диаметр, мм:460||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:5||Мощность лампы, W:40||Общая мощность, W:200||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Золотой||Цвет арматуры:Золотой||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для спальни||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Пульт ДУ:Нет||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele 1415/12+6/360 G;1415/12+6/360 G;Bohemia Ivele;Чехия;Люстры;Подвесные;111576;https://www.vamsvet.ru/upload/iblock/e07/vamsvet-podvesnaya-lyustra-bohemia-ivele-1415-12-6-360-g.jpeg;1415;Изумительная модель 1415/12+6/360 G от чешской компании Bohemia Ivele относится к коллекции 1415 и отлично подойдет для установки на потолок больших залов, оформленных в классическом стиле. Подвесная люстра Bohemia Ivele 1415/12+6/360 G без плафонов осветит помещение площадью 40 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является золотой. Подвесная люстра 1415/12+6/360 G продается по цене 111576 руб, с дисконтом 12% - ваша выгода при покупке составит 15215 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:1415/12+6/360 G||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:1415||Стиль:Классика||Высота, мм:550||Диаметр, мм:940||Длина подвеса, мм:400||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:18||Мощность лампы, W:40||Общая мощность, W:720||Площадь освещения, м2:40||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Золотой||Цвет арматуры:Золотой||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для больших залов||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele 71201/6/210 B FP;71201/6/210 B FP;Bohemia Ivele;Чехия;Люстры;Подвесные;81298;https://www.vamsvet.ru/upload/iblock/e48/vamsvet-podvesnaya-lyustra-bohemia-ivele-71201-6-210-b-fp.jpeg|https://www.vamsvet.ru/upload/iblock/edb/podvesnaya-lyustra-bohemia-ivele-71201-6-210-b-fp-1.jpeg|https://www.vamsvet.ru/upload/iblock/91b/podvesnaya-lyustra-bohemia-ivele-71201-6-210-b-fp-2.jpeg|https://www.vamsvet.ru/upload/iblock/e4f/podvesnaya-lyustra-bohemia-ivele-71201-6-210-b-fp-3.jpeg|https://www.vamsvet.ru/upload/iblock/e48/vamsvet-podvesnaya-lyustra-bohemia-ivele-71201-6-210-b-fp.jpeg|https://www.vamsvet.ru/upload/iblock/edb/podvesnaya-lyustra-bohemia-ivele-71201-6-210-b-fp-1.jpeg|https://www.vamsvet.ru/upload/iblock/91b/podvesnaya-lyustra-bohemia-ivele-71201-6-210-b-fp-2.jpeg|https://www.vamsvet.ru/upload/iblock/e4f/podvesnaya-lyustra-bohemia-ivele-71201-6-210-b-fp-3.jpeg;7101;Утонченная модель 71201/6/210 B FP от чешской компании Bohemia Ivele относится к коллекции 7101. Подвесная люстра Bohemia Ivele 71201/6/210 B FP без плафонов осветит помещение площадью 13.3 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и латунь и может использоваться для натяжного потолка. Основным цветом товара является бронзовый и патиновый. Подвесная люстра 71201/6/210 B FP продается по цене 81298 руб, с дисконтом 12% - ваша выгода при покупке составит 11086 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:71201/6/210 B FP||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:7101||Стиль:Классика||Высота, мм:530||Диаметр, мм:680||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Тип лампочки (дополнительный):Светодиодная||Количество ламп:6||Мощность лампы, W:40||Общая мощность, W:240||Площадь освещения, м2:13.3||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Латунь||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Бронза||Цвет арматуры:Патина||Цвет декора:Прозрачный||Степень защиты:IP20||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele 71202/5/175 A G;71202/5/175 A G;Bohemia Ivele;Чехия;Люстры;Подвесные;54272;https://www.vamsvet.ru/upload/iblock/ee6/vamsvet-podvesnaya-lyustra-bohemia-ivele-71202-5-175-a-g.jpeg;7102;Несравненная модель 71202/5/175 A G от чешской компании Bohemia Ivele относится к коллекции 7102. Подвесная люстра Bohemia Ivele 71202/5/175 A G без плафонов осветит помещение площадью 11.1 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и латунь и может использоваться для натяжного потолка. Основным цветом товара является золотой. Подвесная люстра 71202/5/175 A G продается по цене 54272 руб, с дисконтом 12% - ваша выгода при покупке составит 7401 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:71202/5/175 A G||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:7102||Стиль:Классика||Высота, мм:350||Диаметр, мм:560||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Тип лампочки (дополнительный):Светодиодная||Количество ламп:5||Мощность лампы, W:40||Общая мощность, W:200||Площадь освещения, м2:11.1||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Латунь||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Золотой||Цвет арматуры:Золотой||Цвет декора:Прозрачный||Степень защиты:IP20||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele 72101/8+8+16+8+8/360/5d B GB;72101/8+8+16+8+8/360/5d B GB;Bohemia Ivele;Чехия;Люстры;Подвесные;701958;https://www.vamsvet.ru/upload/iblock/9bd/vamsvet-podvesnaya-lyustra-bohemia-ivele-72101-8-8-16-8-8-360-5d-b-gb.jpeg|https://www.vamsvet.ru/upload/iblock/18f/podvesnaya-lyustra-bohemia-ivele-72101-8-8-16-8-8-360-5d-b-gb-1.jpeg|https://www.vamsvet.ru/upload/iblock/9bd/vamsvet-podvesnaya-lyustra-bohemia-ivele-72101-8-8-16-8-8-360-5d-b-gb.jpeg|https://www.vamsvet.ru/upload/iblock/18f/podvesnaya-lyustra-bohemia-ivele-72101-8-8-16-8-8-360-5d-b-gb-1.jpeg;7201;Замечательная модель 72101/8+8+16+8+8/360/5d B GB от чешской компании Bohemia Ivele относится к коллекции 7201. Подвесная люстра Bohemia Ivele 72101/8+8+16+8+8/360/5d B GB без плафонов осветит помещение площадью 106.7 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и латунь и может использоваться для натяжного потолка. Основным цветом товара является золотой. Подвесная люстра 72101/8+8+16+8+8/360/5d B GB продается по цене 701958 руб, с дисконтом 12% - ваша выгода при покупке составит 95721 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:72101/8+8+16+8+8/360/5d B GB||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:7201||Стиль:Классика||Высота, мм:2000||Диаметр, мм:1180||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Тип лампочки (дополнительный):Светодиодная||Количество ламп:48||Мощность лампы, W:40||Общая мощность, W:1 920||Площадь освещения, м2:106.7||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Латунь||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Золотой||Цвет арматуры:Золотой||Цвет декора:Прозрачный||Степень защиты:IP20||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele 72202/16/300 A GB;72202/16/300 A GB;Bohemia Ivele;Чехия;Люстры;Подвесные;263105;https://www.vamsvet.ru/upload/iblock/842/vamsvet-podvesnaya-lyustra-bohemia-ivele-72202-16-300-a-gb.jpeg|https://www.vamsvet.ru/upload/iblock/140/podvesnaya-lyustra-bohemia-ivele-72202-16-300-a-gb-1.jpeg|https://www.vamsvet.ru/upload/iblock/842/vamsvet-podvesnaya-lyustra-bohemia-ivele-72202-16-300-a-gb.jpeg|https://www.vamsvet.ru/upload/iblock/140/podvesnaya-lyustra-bohemia-ivele-72202-16-300-a-gb-1.jpeg;7202;Исключительная модель 72202/16/300 A GB от чешской компании Bohemia Ivele относится к коллекции 7202. Подвесная люстра Bohemia Ivele 72202/16/300 A GB без плафонов осветит помещение площадью 35.6 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и латунь и может использоваться для натяжного потолка. Основным цветом товара является золотой. Подвесная люстра 72202/16/300 A GB продается по цене 263105 руб, с дисконтом 12% - ваша выгода при покупке составит 35878 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:72202/16/300 A GB||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:7202||Стиль:Классика||Высота, мм:600||Диаметр, мм:920||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Тип лампочки (дополнительный):Светодиодная||Количество ламп:16||Мощность лампы, W:40||Общая мощность, W:640||Площадь освещения, м2:35.6||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Латунь||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Золотой||Цвет арматуры:Золотой||Цвет декора:Прозрачный||Степень защиты:IP20||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele AL78101/6/175 B AGW;AL78101/6/175 B AGW;Bohemia Ivele;Чехия;Люстры;Подвесные;35276;https://www.vamsvet.ru/upload/iblock/3c6/vamsvet-podvesnaya-lyustra-bohemia-ivele-al78101-6-175-b-agw.jpeg|https://www.vamsvet.ru/upload/iblock/168/podvesnaya-lyustra-bohemia-ivele-al78101-6-175-b-agw-1.jpeg|https://www.vamsvet.ru/upload/iblock/3c6/vamsvet-podvesnaya-lyustra-bohemia-ivele-al78101-6-175-b-agw.jpeg|https://www.vamsvet.ru/upload/iblock/168/podvesnaya-lyustra-bohemia-ivele-al78101-6-175-b-agw-1.jpeg;AL7801;Изумительная модель AL78101/6/175 B AGW от чешской компании Bohemia Ivele относится к коллекции AL7801 и отлично подойдет для установки на потолок спальни, оформленной в классическом стиле. Подвесная люстра Bohemia Ivele AL78101/6/175 B AGW без плафонов осветит помещение площадью 16 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является золотой. Подвесная люстра AL78101/6/175 B AGW продается по цене 35276 руб, с дисконтом 12% - ваша выгода при покупке составит 4810 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:AL78101/6/175 B AGW||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:AL7801||Стиль:Классика||Высота, мм:580||Диаметр, мм:580||Вес, кг:5||Регулировка по высоте:Да||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:6||Мощность лампы, W:40||Общая мощность, W:240||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Вид рассеивателя:Отсутствует||Форма рассеивателя:Без плафона||Цвет:Золотой||Цвет арматуры:Золотой||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для спальни||Место установки:На потолок||Тип крепления:На крюк||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele 1410/10+5/240 G V3001;1410/10+5/240 G V3001;Bohemia Ivele;Чехия;Люстры;Подвесные;63869;https://www.vamsvet.ru/upload/iblock/b00/vamsvet-podvesnaya-lyustra-bohemia-ivele-1410-10-5-240-g-v3001.jpeg;1410;Невероятная модель 1410/10+5/240 G V3001 от чешской компании Bohemia Ivele относится к коллекции 1410 и отлично подойдет для установки на потолок в гостиной, оформленной в классическом стиле. Подвесная люстра Bohemia Ivele 1410/10+5/240 G V3001 без плафонов осветит помещение площадью 40 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является синий и золотой. Подвесная люстра 1410/10+5/240 G V3001 продается по цене 63869 руб, с дисконтом 12% - ваша выгода при покупке составит 8709 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:1410/10+5/240 G V3001||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:1410||Стиль:Классика||Высота, мм:490||Диаметр, мм:670||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:15||Мощность лампы, W:40||Общая мощность, W:600||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Синий||Цвет арматуры:Золотой||Цвет декора:Синий||Степень защиты:IP20||Интерьер:Для гостиной||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Пульт ДУ:Нет||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
Подвесная люстра Bohemia Ivele 1402/16+8+4/300/3d G;1402/16+8+4/300/3d G;Bohemia Ivele;Чехия;Люстры;Подвесные;134236;https://www.vamsvet.ru/upload/iblock/18c/vamsvet-podvesnaya-lyustra-bohemia-ivele-1402-16-8-4-300-3d-g.jpeg;1402;Исключительная модель 1402/16+8+4/300/3d G от чешской компании Bohemia Ivele относится к коллекции 1402 и отлично подойдет для установки на потолок больших залов, оформленных в классическом стиле. Подвесная люстра Bohemia Ivele 1402/16+8+4/300/3d G без плафонов осветит помещение площадью 62.2 кв. м. Производитель Bohemia Ivele рекомендует использовать для устройства лампы накаливания с цоколем E14 и мощностью 40 W. Прибор произведен с использованием материалов: хрусталь и металл и может использоваться для натяжного потолка. Основным цветом товара является золотой. Подвесная люстра 1402/16+8+4/300/3d G продается по цене 134236 руб, с дисконтом 12% - ваша выгода при покупке составит 18305 руб. Торопитесь сделать заказ в интернет-магазине ВамСвет.;"Артикул:1402/16+8+4/300/3d G||Бренд:Bohemia Ivele||Страна бренда:Чехия||Страна производства:Россия||Коллекция:1402||Стиль:Классика||Высота, мм:840||Диаметр, мм:860||Тип цоколя:E14||Тип лампочки (основной):Накаливания||Количество ламп:28||Мощность лампы, W:40||Общая мощность, W:1 120||Площадь освещения, м2:62.2||Напряжение, V:220-240||Виды материалов:Хрустальные||Материал арматуры:Металл||Вид рассеивателя:Хрусталь||Форма рассеивателя:Без плафона||Цвет:Золотой||Цвет арматуры:Золотой||Цвет декора:Прозрачный||Степень защиты:IP20||Интерьер:Для больших залов||Место установки:На потолок||Подходит для натяжных потолков:Да при условии использования
светодиодных ламп||Пульт ДУ:Нет||Тип подвеса:Цепь||Гарантия производителя:18 месяцев||Гарантия магазина:12 месяцев||Раздел:Люстры||Каталог:Подвесные"
